Rank,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,country
24,87.17,Lucitania 2017,$7.20/lb,"$6,190.56",Nagahama Coffee Inc.,Wilson Rodriguez Fanco,1700 - 1750 m.a.s.l.,Colombia,2017,Planadas,Tolima,"Juicy, super juicy.","Cherry, peach, black tea, honey, black currant, chocolate, baking spices, panela, maple syrup, sugar cane, pineapple.","Citric, complex, smooth.",Washed,Caturra Colombia,Colombia
25,87.13,El Limón 2017,$8.00/lb,"$7,936.64",Dillanos Coffee Roasters,Hideón Muñoz Chávez,1800 m.a.s.l.,Colombia,2017,Tabón,Nariño,"Juicy, well structured, toffee-like texture, beautiful finish.","Red apple, red berries, maple syrup, fig, toffee, yellow fruits, brulee and pineapple, papaya, lactic acid, butter.","Lactic acid, complex, citric, full spectrum.",Washed,Caturra,Colombia
26,87.06,El Balso 2017,$5.90/lb,"$16,779.36",Honu Kato Coffee Inc.,Libardo Lasso Muñoz,1890 - 1950 m.a.s.s.,Colombia,2017,Buesaco,Nariño,"Hot thick and creamy, well structured, solid acidity.","Peach ice tea, vanilla, brown sugar, almond, dark chocolate, raspberry, white chocolate, candied orange, honey.","Complex, med intensity, citric thru to malic, malic.",Washed,Caturra Colombia Castillo,Colombia
27,87.0,El Vergel 2017,$7.10/lb,"$7,043.77",Honu Kato Coffee Inc.,José Alvaro Cruz Chala,1750 - 1880 mts,Colombia,2017,Planadas,Tolima,"Plum, cherry, star fruit, delicate, clean, tea-like.","Vanilla, toast sugar, brown sugar, toasted, honey, peach, orange, almond, plum, red currant, graham cracker, ginger, nougat.","Plum, cherry, malic, citric.",Washed,Caturra Colombia,Colombia
28,86.81,Limón 2017,$7.00/lb,"$9,722.37",InterAmerican Coffee GmbH,Willintog Peréz,1.900 - 2.000 m.a.s.l.,Colombia,2017,Planadas,Tolima,"Well rounded, transparent, syrupy.","Grapefruit, lemon, kiwi, red apple, lime, white chocolate, grapes, toasted pecan, cocao.","Medium, citric, well structured, sweet acidity, integrated acidity.",Washed,Caturra Colombia Castillo,Colombia
29,86.78,La Esperanza 2017,$7.10/lb,"$6,104.58","Nippon Coffee Trading Co., Ltd.",Rafael Alfonso Mateus Camacho,"1,900 - 2,000 m.a.s.l",Colombia,2017,Palestina,Hulia,"Viscous, juicy, sweet.","Toasted nut, raisin, jasmine, oolong tea, muscovado, black tea, bergamot, dark chocolate.","White grape, lime, grapefruit.",Washed,Tabi,Colombia
30,86.75,El Bado – Gallinazera 2017,$7.00/lb,"$18,981.83",Kaffebrenneriet As,Maria Etelvina Diaz,2050,Colombia,2017,Buesaco,Nariño,,,,,Caturra Typica,Colombia
1a,91.35,Cumaral,$43.50/lb,"$20,139.20","Maruyama Coffee, Sarutahiko Coffee, GoodBoyBob Coffee (USA)",Andres Londoño Montoya,1550m,Colombia,2018,Caicedonía,Valle del Cauca,"Fruity aftertaste, long finish, orange blossom, minty, complex","Nectarine, meyer lemon, floral, jasmine, sugarcane, honeysuckle, orange, perfume, lychee","Citric, complex, delicate, clean, apple juice, consistent",Washed,Bourbón Gesha,Colombia
1b,91.35,Cumaral,$50.10/lb,"$23,194.80","TIMES CLUB,
Coffee Libre,
Valley Coffee Roasters (China),
Amber Coffee Roasters",Andres Londoño Montoya,1550m,Colombia,2018,Caicedonía,Valle del Cauca,"Fruity aftertaste, long finish, orange blossom, minty, complex","Nectarine, meyer lemon, floral, jasmine, sugarcane, honeysuckle, orange, perfume, lychee","Citric, complex, delicate, clean, apple juice, consistent",Washed,Bourbón Gesha,Colombia
2a,91.18,La España 1,$19.10/lb,"$8,211.09",BPC for Coffee Fiel,Duberney Cifuentes Fajardo,1780m,Colombia,2018,Planadas,Tolima,"Very clean, sweet, juicy, green grape, starfruit, syrupy","Sugarcane, white peach, floral, vanilla, lemon verbena, plum, mango, chardonnay, asian pear, peony, champagne","Sparkling, malic, complex",Washed,Gesha,Colombia
2b,91.18,La España 1,$19.10/lb,"$8,211.09","Maruyama Coffee Co., Ltd., Willoughby’s Coffee & Tea",Duberney Cifuentes Fajardo,1780m,Colombia,2018,Planadas,Tolima,"Very clean, sweet, juicy, green grape, starfruit, syrupy","Sugarcane, white peach, floral, vanilla, lemon verbena, plum, mango, chardonnay, asian pear, peony, champagne","Sparkling, malic, complex",Washed,Gesha,Colombia
3a,91.0,Manantiales del Frontino,$18.35/lb,"$8,495.50","Maruyama Coffee Co., Ltd.",Andres Londoño Montoya,1700m,Colombia,2018,Caicedonía,Valle del Cauca,"Candy finish, creamy, nectar, persistent","Pineapple, floral, tropical fruits, caramel, melon, strawberry jam, guava, marzipan, peach, nectarine, mango, perfume","Citrus, Tartaric, complex",Washed,Gesha,Colombia
3b,91.0,Manantiales del Frontino,$18.35/lb,"$8,495.50",Haru International Corporation,Andres Londoño Montoya,1700m,Colombia,2018,Caicedonía,Valle del Cauca,"Candy finish, creamy, nectar, persistent","Pineapple, floral, tropical fruits, caramel, melon, strawberry jam, guava, marzipan, peach, nectarine, mango, perfume","Citrus, Tartaric, complex",Washed,Gesha,Colombia
4a,90.91,Las Cuevas,$12.60/lb,"$6,666.66",Haru International Corporation,Robinson Olivera,1800m,Colombia,2018,Planadas,Tolima,"Transparent, super clean, sweet, hard candy finish","White grape, cantaloupe, peach, berries, mora, pineapple, chocolate, stone fruit","Really complex, citric, lively, lemon",Washed,Colombia,Colombia
4b,90.91,Las Cuevas,$12.50/lb,"$6,613.75","Time’s Club,  Coffee Libre",Robinson Olivera,1800m,Colombia,2018,Planadas,Tolima,"Transparent, super clean, sweet, hard candy finish","White grape, cantaloupe, peach, berries, mora, pineapple, chocolate, stone fruit","Really complex, citric, lively, lemon",Washed,Colombia,Colombia
5a,90.85,El Cairo,$20.00/lb,"$3,968.20",CAFFE PASCUCCI,Eiver Leonardo Gomez Melo,2200m,Colombia,2018,Consaca,Nariño,"Heavy, nectar, balanced, juicy, chewy, silky, clean, very sweet, syrupy, crystal clear","Juicy lime, pineapple, brown sugar, black cherry, lychee, blackberry, apricot, apple","Malic, sparkling, citrus, ",Washed,Caturra Colombia Typica,Colombia
5b,90.85,El Cairo,$20.00/lb,"$3,968.20",Café Pasadena,Eiver Leonardo Gomez Melo,2200m,Colombia,2018,Consaca,Nariño,"Heavy, nectar, balanced, juicy, chewy, silky, clean, very sweet, syrupy, crystal clear","Juicy lime, pineapple, brown sugar, black cherry, lychee, blackberry, apricot, apple","Malic, sparkling, citrus, ",Washed,Caturra Colombia Typica,Colombia
6a,90.79,El Mirador 1,$19.10/lb,"$8,842.73",Caffeine Lab,Alba Diela López Riascos,2050m,Colombia,2018,Buesaco,Nariño,"Grapefruit, clear, cocoa liqueur, kiwi, rich","Green apple, grape, raspberry, peach, blueberry, cinnamon, banana, cedar, pineapple, tangerine, caramel","Tartaric, sparkling",Honey,Castillo Caturra Colombia,Colombia
6b,90.79,El Mirador 1,$18.35/lb,"$8,495.50",Fisher Coffee / Latorre & Dutch Coffee,Alba Diela López Riascos,2050m,Colombia,2018,Buesaco,Nariño,"Grapefruit, clear, cocoa liqueur, kiwi, rich","Green apple, grape, raspberry, peach, blueberry, cinnamon, banana, cedar, pineapple, tangerine, caramel","Tartaric, sparkling",Honey,Castillo Caturra Colombia,Colombia
7a,90.53,El Cairo,$20.40/lb,"$8,769.96",Kyokuto Fadie Corporation,Lucas German Melo,2000m,Colombia,2018,Consaca,Nariño,"Balanced, creamy, notably clean, long aftertaste, round","Jackfruit, papaya, black currant, apple, grapefruit, mandarine, raisin, plum, prune, fig, brothy, chocolate, honey","Tartaric, malic",Washed,Caturra Colombia Typica,Colombia
7b,90.53,El Cairo,$20.50/lb,"$8,812.95",Caravela Coffee,Lucas German Melo,2000m,Colombia,2018,Consaca,Nariño,"Balanced, creamy, notably clean, long aftertaste, round","Jackfruit, papaya, black currant, apple, grapefruit, mandarine, raisin, plum, prune, fig, brothy, chocolate, honey","Tartaric, malic",Washed,Caturra Colombia Typica,Colombia
8a,90.24,El Brasil,$8.40/lb,"$3,611.16","Wataru & Co., Ltd",Duvier Tibaguy Guevara,2003m,Colombia,2018,Planadas,Tolima,"Clean, silky, consistent, harmonious","Sweet pea, toffee, apple pie, panela, red currant, green grape, lemon","Mandarine, citric",Washed,Caturra Typica,Colombia
8b,90.24,El Brasil,$8.40/lb,"$3,611.16",Carrboro Coffee Roasters,Duvier Tibaguy Guevara,2003m,Colombia,2018,Planadas,Tolima,"Clean, silky, consistent, harmonious","Sweet pea, toffee, apple pie, panela, red currant, green grape, lemon","Mandarine, citric",Washed,Caturra Typica,Colombia
9a,90.21,El Plan,$7.00/lb,"$8,796.34","Wataru & Co., Ltd",Juan Bautista Lasso Bolaños,2000m,Colombia,2018,San Pedro Cartago,Nariño,"Clean, juicy, malty, delicate","Vanilla, red apple, cherry, lemon, tangerine, sweet plantain, macadamia nut, hibiscus, sauvignon blanc","Crispy, malic, sweet lime, mild but complex",Washed,Caturra,Colombia
9b,90.21,El Plan,$7.00/lb,"$8,796.34",M.I.COFFEE CORPORATION,Juan Bautista Lasso Bolaños,2000m,Colombia,2018,San Pedro Cartago,Nariño,"Clean, juicy, malty, delicate","Vanilla, red apple, cherry, lemon, tangerine, sweet plantain, macadamia nut, hibiscus, sauvignon blanc","Crispy, malic, sweet lime, mild but complex",Washed,Caturra,Colombia
10,89.76,El Paraiso,$54.10/lb,"$46,514.64",Blossom Valley Intl & The Few Coffee,Diego Samuel Bermudez Tapia,2050m,Colombia,2018,Cauca,Piendamo,"Whipped cream, Syrupy, heavy","Strawberry, peach, honey, cinnamon, melon, floral, pineapple, mango, intense orange aroma, aged rum, peach yogurt",Lactic,Washed,Bourbón,Colombia
11,88.85,El Paraiso,$8.00/lb,"$10,052.96",Vital Proteins,Jose Gomez,1.800 mts,Colombia,2018,Buesaco,Nariño,"Sweet, big body","Vanilla, toffee, raisin, chocolate, baking spices, floral, prune, fig, melon","Tartaric, complex",Washed,Caturra,Colombia
12,87.65,El Vergel,$6.80/lb,"$12,142.96",BPC for Coffee Fiel,Juval Antonio Gutierrez,1750m,Colombia,2018,Santa Maria,Huila,"Persistent, juicy, honey, quenching","Lime, toffee, passionfruit, pear, grapefruit, maple syrup, spices, dried apricot, cola, pistachio","Tartaric, malic, lactic",Washed,Caturra Colombia,Colombia
13,87.62,El Diviso,$13.20/lb,"$11,349.23",La Boheme Cafe,Linarco Rodriguez Ospina,1.700 mts,Colombia,2018,Palestina,Huila,"Sweet and clean finish, crisp, heavy body, juicy","Dried apricot, black cherry, red currant, vanilla, herbal, cream soda, sweet pastry","Complex, but subtle, citric, tartaric, malic",Washed,Caturra Typica,Colombia
14,87.53,Llano Redondo,$8.20/lb,"$13,015.94",Kaffebrenneriet As,Angel Maria Lopez Imbajoa,2.150 mts,Colombia,2018,Buesaco,Nariño,"Syrupy, soft long finish","Green apple, raspberry, honey, lime soda, orange, milk chocolate, marshmallow, clementine","Citric, crisp, complex",Washed,Castillo Caturra,Colombia
15,87.5,Mexico,$7.50/lb,"$6,448.43",BPC for Coffee Fiel,Mexico,2.180,Colombia,2018,Buesaco,Nariño,"Dark chocolate finish, consistent, long aftertaste","Cherry, cocoa, orange, pomegranate, pineapple, cranberry, lemon meringue, sweet tea","Tartaric, citric",Washed,Castillo Colombia,Colombia
16,87.38,Los Alpez,$8.10/lb,"$7,232.17",Caravela Coffee,Amparo Pajoy,1.800 mts,Colombia,2018,La Plata,Huila,"Round, sweet finish, balanced","Lime, cherry, dark chocolate, chocolate, cotton candy, vanilla, panela, red apples, apple butter","Citric, tartaric",Washed,Caturra Colombia,Colombia
17,87.32,Mirador – El Naranjo,$8.10/lb,"$7,500.03",Campos Coffee,Rodrigo Arley Diaz,2.150 mts,Colombia,2018,Buesaco,Nariño,"Full body, creamy, dark chocolate finish","Blackberry, strawberry jam, lemongrass, honey, toffee, roasted almonds, bakers chocolate, cantaloupe","Malic, citric, lemon, green apple",Washed,Caturra,Colombia
18,87.24,Villa Martinez,$7.50/lb,"$6,944.48",OGAWA COFFEE,Gustavo Ramos,1.550 mts,Colombia,2018,Gigante,Huila,"Delicate, transparent, nice finish","Red apple, cola, tamarind, lemonade, kiwi, pomegranate, hibiscus, camomile","Citrus, complex",Washed,Caturra,Colombia
19,87.21,Cuchilla Loma Gorda,$6.50/lb,"$10,102.56",Honu Kato Coffee Inc.,Guillermo Leon Valencia Burbano,1875 mts,Colombia,2018,Buesaco,Nariño,"Juicy, syrupy, lingering finish","Green apple, guava, lime, stone fruits, plum, sugarcane, red cherry, coriander, sumac",Citric,Washed,Caturra,Colombia
20,87.12,El Trapiche,$9.20/lb,"$16,428.72",InterAmerican Coffee GmbH,Marco Avelio Lasso Muñoz,1.900mts,Colombia,2018,San Pedro Cartago,Nariño,"Delicate, smooth, clean","Black cherry, grape, red currant, macadamia nut, smoky sweet, almond, dulce de leche, sweet, honey, milk chocolate","Tartaric, citric, orange",Honey,Caturra,Colombia
21,87.03,Buena Vista,$7.10/lb,"$8,922.00",Vital Proteins,Edgar Motta Vargas,1.600 mts,Colombia,2018,Acevedo,Huila,"Well balanced, mellow, elegant","Gram cracker, bergamot, golden raisin, nutmeg, sweet rice, pear, caramel","Citrus, lemon",Washed,Bourbón,Colombia
22,87.0,Quijiana,$8.10/lb,"$6,964.30",Kyokuto Fadie Corporation,Fernando Garcia Contreras,1750 mts,Colombia,2018,Pital,Huila,"Creamy, smooth, syrupy, hazelnut, balanced, brown sugar","Caramel, orange, apricot, green apple, honey, nuts, cashew nuts, savory",Malic,Washed,Caturra,Colombia
23,86.97,Casa Blanca,$8.10/lb,"$14,464.41","Wataru & Co., Ltd",Darwin Fernandez Narvaez,1.800mts,Colombia,2018,La Unión,Nariño,"Balanced, delicate, good clarity, juicy","Raisin, honeycomb, vanilla, mandarine, passion fruit, pear ","Lemon, citric",Honey,Caturra,Colombia
24,86.94,Altos de la Colina,$7.50/lb,"$7,440.53","Wataru & Co., Ltd",Oscar James Jurado Andrade,1800 mts,Colombia,2018,Buesaco,Nariño,"Creamy mouthfeel, complex, transparent","Lemon, vanilla, cherry, floral, cedar, herbal, rose, papaya","Citric, lemon",Washed,Caturra Maragogype,Colombia
25,86.88,El Salado,$6.90/lb,"$12,321.54",Honu Kato Coffee Inc.,Luis Alfredo Lopez Loaiza,2.200 mts,Colombia,2018,Buesaco,Nariño,"Fleshy, nicely balanced, juicy","Grapefruit, malt, baking spices, red apples, brown sugar, honeydew, peach","Citric, malic, complex",Washed,Castillo Caturra,Colombia
26,86.85,El Naranjo,$11.90/lb,"$10,625.03",Kyokuto Fadie Corporation,Yilmer Fabian Tunubala,1.900 mts,Colombia,2018,Inza,Cauca,"Syrupy, buttery, clean","Red apple, red currant, raisin, vanilla, brown sugar, caramel","Malic, citric",Washed,Bourbón,Colombia
27,86.18,Loma Gorda,$7.00/lb,"$10,416.77",Honu Kato Coffee Inc.,Moises Hernando Valencia,1.900 mts,Colombia,2018,Buesaco,Nariño,"Heavy syrupy body, long sweet finish, white chocolate","Brown spice aroma, nutmeg, cinnamon, blackberry, molasses, baked apples, peach","Very complex, tartaric",Washed,Caturra,Colombia
1a,92.71,Mikava,$35.10/lb,"$18,571.76","Maruyama Coffee, Sarutahiko Coffee, Saza Coffee, Adachi Coffee, Harrods, Goodboybob Coffee, Intelligentsia",Paul Kevin Doyle,2000,Colombia,2019,Marsella,Risaralda,"Long sweet finish, Refreshing finish, silky, super clean, rich, very defined structure","Peach, bergamot, vanilla, mango, chamomile, sprite, jasmine, aloe, pineapple, cranberry, peach blossom, kiwi, brown sugar, watermelon candy","Citric, complex, malic",Natural,Gesha,Colombia
1b,92.71,Mikava,$35.60/lb,"$17,659.02","BEANBROTHERS,
Bean Box",Paul Kevin Doyle,2000,Colombia,2019,Marsella,Risaralda,"Long sweet finish, Refreshing finish, silky, super clean, rich, very defined structure","Peach, bergamot, vanilla, mango, chamomile, sprite, jasmine, aloe, pineapple, cranberry, peach blossom, kiwi, brown sugar, watermelon candy","Citric, complex, malic",Natural,Gesha,Colombia
2a,92.18,Betania,$30.30/lb,"$22,043.86","Mesh Coffee, Coffee Libre, 304 Coffee Roasters",Linarco Rodriguez Ospina,1700,Colombia,2019,Palestina,Huila,"Super clean, bursting acidity, complex, earl grey tea","Mango, peach, sugar cane, gooseberries, jasmine, orange, green tea, tropical fruit, honey, banana, toffee, molasses","Tartaric, malic",Washed,Caturra Tabi,Colombia
2b,92.18,Betania,$30.30/lb,"$21,042.14","Campos Coffee, GoodBoyBob Coffee",Linarco Rodriguez Ospina,1700,Colombia,2019,Palestina,Huila,"Super clean, bursting acidity, complex, earl grey tea","Mango, peach, sugar cane, gooseberries, jasmine, orange, green tea, tropical fruit, honey, banana, toffee, molasses","Tartaric, malic",Washed,Caturra Tabi,Colombia
3a,91.65,Chaferote,$19.60/lb,"$7,777.87",lowkeycoffee (coffeejumbbang),Luis Gerardo Bravo Ordoñez,1600,Colombia,2019,San Agustin,Huila,"Sugar cane, very clean, delicate, creamy, juicy, refined","Orange, strawberry, pineapple, tangerine, marshmallow, green grape, lemon grass, cherry blossom","Citric, complex",Washed,Bourbón,Colombia
3b,91.65,Chaferote,$19.50/lb,"$7,738.19","Intelligentsia, George Howell Coffee, and AKA Coffee",Luis Gerardo Bravo Ordoñez,1600,Colombia,2019,San Agustin,Huila,,"Citric, complex","Sugar cane, very clean, delicate, creamy, juicy, refined",Washed,Bourbón,Colombia
4a,91.61,La Esmeralda,$15.70/lb,"$8,826.23",Kyokuto Fadie Corporation,Jose Alden Montero Muñoz,1750,Colombia,2019,San Agustin,Huila,,"Complex, intense, structured","Smooth, juicy, rich, bright, syrupy, silky, great aromatics",Washed,Caturra,Colombia
4b,91.61,La Esmeralda,$15.60/lb,"$8,770.01","Time’s Club (Japan), Coffee Libre (South Korea), Valley Coffee Roasters (China)",Jose Alden Montero Muñoz,1750,Colombia,2019,San Agustin,Huila,,"Complex, intense, structured","Smooth, juicy, rich, bright, syrupy, silky, great aromatics",Washed,Caturra,Colombia
5a,91.38,Porvenir,$16.10/lb,"$7,986.24","ying fung international co., ltd.",Luis Orlando Sanchez Guevara,1680,Colombia,2019,Palestina,Huila,,"Tartaric, citric","Sugar sweet, super consistent, elegant, well balanced, complex",Washed,Gesha,Colombia
5b,91.38,Porvenir,$16.10/lb,"$7,453.82","Orsir Coffee(Taiwan), TRN(Taiwan Roasters Network)",Luis Orlando Sanchez Guevara,1680,Colombia,2019,Palestina,Huila,,"Tartaric, citric","Sugar sweet, super consistent, elegant, well balanced, complex",Washed,Bourbón,Colombia
6,91.19,Bella Vista,$16.00/lb,"$13,756.80",Terarosa (Haksan Co.Ltd),Nito Arbey Molina Navia,1700,Colombia,2019,Pitalito,Huila,"Juicy, brown sugar, solid body, uniform, well balanced, sweet finish","Black tea, jasmine, dark fruit, plums, concord grape, panela, vanilla, melon, floral","Citric, tartaric, malic",Washed,Bourbón Caturra,Colombia
7,91.11,La Cereza,$14.00/lb,"$12,963.16",MATSUMOTO COFFEE,Andres Felipe Ospina Ramirez,1720,Colombia,2019,San Agustin,Huila,"Silky mouthfeel, juicy","Raisin, cranberry, red grape, floral, stewed fruit, acacia, wine, strawberry jam, cola, green apple","Citric, tartaric, bright",Washed,Caturra,Colombia
8,91.0,La Pradera,$26.10/lb,"$24,167.03",Blossom Valley Intl / THE FEW COFFEE & GOODS / S.O.E Coffee/Oas roaster/Beloya coffee,Oscar Daza Bautista,1900,Colombia,2019,Aratoca,Santander,"Yogurt in the fragrance, tropical fruit stew, aftertaste of mint eucalyptus","White grapes, grapefruit, green tea, mint, lavender, cherry, rich, strawberry, almonds, brown sugar, prune","Malic, tartaric, phosphoric","Anaerobic, Honey",Gesha,Colombia
9,90.5,Los Arboles,$16.20/lb,"$15,535.96",C Hub Cafe,Arley Delgado Ortiz,1600,Colombia,2019,San Agustin,Huila,"Brown sugar, bright, syrupy, winey and exotic","Cinnamon, peach, raspberry, tangerine, mango, banana, molasses, cherry, honey, strawberry preserves, red berry, red wine","Tartaric, citric",Natural,Gesha,Colombia
10,89.54,La Esperanza,$16.10/lb,"$11,180.81",Haru International Corporation,Lopez Aguadelo y Cia Limitada,1730,Colombia,2019,Pijao,Quindio,"Consistent, really sweet, smooth mouthfeel, black tea finish, delicate","Tropical fruit, apple, pineapple, blackberry, orange, yellow fruits, cherry, hard candy, maple, butterscotch","Complex, citric",Natural,Gesha,Colombia
11,89.11,El Encanto,$14.10/lb,"$13,055.75",Food Service Ukraine,Miguel Angel Botina Morales,1740,Colombia,2019,Miguel Angel Botina Morales,Huila,"Velvety mouthfeel, jammy mouthfeel, super clean, creamy mouthfeel, marshmallow","Cranberry, blueberry, hibiscus, floral, peach, raspberry, green apple, passionfruit, plum, blackberry","Tartaric, complex",Washed,Caturra,Colombia
12,89.0,El Juncal,$12.10/lb,"$16,405.66",Terarosa (Haksan Co.Ltd),Yeroby Chavarro Molina,1700,Colombia,2019,Oporapa,Huila,Citric,"Nectarine, blackberry, peach, pineapple, orange, dark toffee, maple, molasses, custard, black currants, lime zest, cranberry",Citric,Washed,Caturra,Colombia
13,88.67,El Mandarino,$9.30/lb,"$7,688.59",Dongjin Trading,Oscar Efren Gonzalez,1650,Colombia,2019,San Agustin,Huila,"Clean, long aftertaste, complex, great body, toffee candy","Floral, jasmine, tea rose, green tea, cane sugar, blackberry, grape juice, pear, papaya, stewed apples","Malic, tartaric, refined, subtle, complex",Washed,Caturra,Colombia
14,88.6,La Estrella,$16.50/lb,"$8,730.32","TOA COFFEE Co.,Ltd. and ARAB COFFEE Co.,Ltd",Lopez Aguadelo y Cia Limitada,1750,Colombia,2019,Pijao,Quindio,"Creamy, consistent, well balanced","Honey, orange, papaya, caramel, melon, vanilla, rose, stone fruits, lemon lime, walnut","Citric, lactic",Honey,Gesha,Colombia
15,88.51,La Miel,$16.10/lb,"$14,907.63","Intelligentsia, Single O, AKA Coffee, and Tipico Coffee",Miguel Angel Botina Ceron,1760,Colombia,2019,San Agustin,Huila,"Sugar cane, nougat, improved as cooled, sweet lime, grapefruit","Berry, cherry, black tea, strawberry, mango, grape, passionfruit, tropical fruits, bergamot","Citric, tartaric, complex",Washed,Pink Bourbón,Colombia
16,88.51,La Orquidea,$8.70/lb,"$8,055.68",Food Service Ukraine,Benjamin Collazos Rojas,1720,Colombia,2019,Pitalito,Huila,"Full body, syrupy, jammy body","Red currants, red fruit compote, nectarine, brown sugar, orange, tangerine, toffee, blackberry, apricot, grape",Malic,Washed,Colombia,Colombia
17,88.42,La Gaviota,$9.20/lb,"$9,431.38",London Dairy Cafe,Fabio Londoño,1550,Colombia,2019,Caicedonia,Valle del Cauca,"Clean, smooth","Perfume, very sweet, vanilla, red apple, cranberry, peach blossom, floral, tropical fruits, guava, melon","Malic, tartaric",Washed,Yellow Bourbón,Colombia
18,88.31,El Diviso,$7.30/lb,"$23,416.36","Wataru & Co.,Ltd.",Linarco Rodriguez Ospina,1650,Colombia,2019,Palestina,Huila,"Well structured, long finish, round mouthfeel, floral aftertaste, well balanced","Yellow fruits, honeydew, toffee, granadilla, red apple, berries, floral, caramel, toffee, brown sugar, pear",Malic,Washed,Bourbón Caturra,Colombia
19,88.17,Alcatraz,$13.70/lb,"$14,950.67",Caravela Coffee,Wilfredo Ule Vargas,1859,Colombia,2019,Oporapa,Huila,"Creamy, long finish, sugar cane, very sweet, defined","Red grape, melon, peach, green apple, apple, cherry, apricot, jasmine, black tea, honey, milk chocolate","Citric, lime",Washed,Bourbón Caturra,Colombia
20,88.11,Los Lagos,$14.00/lb,"$12,037.20",MATSUMOTO COFFEE,Mauricio Botina Ceron,1700,Colombia,2019,San Agustin,Huila,"Crisp, long brown sugar finish, vibrant acidity, round, well balanced","Berry, nuts, tangerine, tropical fruits, pineapple, nougat, molasses, grape, vanilla, blackberry","Malic, tartaric, structured and complex",Washed,Caturra,Colombia
21,88.03,Castellon,$17.10/lb,"$11,309.77",C Hub Cafe,Jairo Arcila,1600,Colombia,2019,Circasia,Quindio,"Syrupy, round, improved as cooled","Honey, grape, orange, floral, lemon, lemongrass, chamomile, tropical fruits, melon, jasmine","Lime, malic, citric",Honey,Gesha,Colombia
22,87.85,Calamar,$10.00/lb,"$9,259.40",Food Service Ukraine,Andres Felipe Londoño,1700,Colombia,2019,Caicedonia,Valle del Cauca,"Black tea finish, buttery finish, smooth","Cherry, sugarcane, green apple, lemongrass, green tea, jasmine, berry, pumpkin spice","Citric, malic",Washed,Red Bourbón,Colombia
23,87.76,La Esperanza,$10.60/lb,"$20,331.01",Kyokuto Fadie Corporation,Ari Jesus Ome Jimenez,1700,Colombia,2019,San Agustin,Huila,"Very clean, honey drops, juicy, lime tonic finish, clean finish, pineapple","Apple, white grape, melon, sour cherry, pineapple, lemon, orange blossom, honey","Citric, lime, juicy, tangerine",Washed,Caturra,Colombia
24,87.72,El Paraiso,$19.17/lb,"$17,116.32",C Hub Cafe,Diego Samuel Bermudez Tapia,1850,Colombia,2019,Piendamo,Cauca,"Herbal finish, creamy mouthfeel, eucalyptus","Raspberry, strawberry, cinnamon, brown spice, guava, lychee, jackfruit, biscuits, candy like, canned peaches, yogurt","Lactic, butyric","Anaerobic, Washed",Castillo,Colombia
25,87.67,Pensilvania,$9.70/lb,"$8,340.06",Ecom Japan Limited,Campo Elias Muñoz,1700,Colombia,2019,San Agustin,Huila,"Long aftertaste, round, bright acidity","Green tea, cherry, peach, sweet cherry tomato, oatmeal, red apple, lychee, cane sugar, cinnamon, ginger","Malic, citric",Washed,Caturra,Colombia
26,87.06,La Ilución,$11.90/lb,"$11,018.69",M.I.COFFEE CORPORATION,Rosebel Ortiz Scarpetta,1800,Colombia,2019,San Agustin,Huila,"Honey, syrupy, dark chocolate finish, prune, fruit compote, acetic","Strawberry, cinnamon, blueberry, rum, red wine, stewed fruits, jam, cherry, cranberry, cocoa, prune","Tartaric, citric",Natural,Castillo Colombia,Colombia
27,86.96,Las Delicias,$8.50/lb,"$9,557.06",BPC,Eduar Giraldo Olaya,1950,Colombia,2019,Planadas, Tolima,"Silky mouthfeel, rich","Orange, black cherry, plum, melon, nougat, prunes, nuts, dark chocolate, brown sugar, almond, red grape",Citric,Washed,Caturra,Colombia
28,86.94,Buena Vista,$8.50/lb,"$8,432.68",BPC,Rafael Lozana Molina,1750,Colombia,2019,San Agustin,Huila,"Velvety body, improves as cools, consistent, balanced","Nuts, caramel, honeydew, prunes, cherry, cherry blossom, plum, vanilla, apricot, almonds, melon","Lime, citric",Washed,Caturra,Colombia
29,86.86,Buena Vista,$8.50/lb,"$7,589.40","Wataru & Co.,Ltd.",Joaquin Ordoñez Buitron,1600,Colombia,2019,Pitalito,Huila,"Brown sugar, well balanced","Nutmeg, red grape, caramel, vanilla, cherry, cranberry, carob, tangerine","Tartaric, malic",Washed,Caturra Colombia,Colombia
